"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"203","21q","7q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"204","7p","7q",0.5,2,0.5,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"205","16p","7q",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"206","11p","7q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"207","18p","7q",0,2,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"208","17p","7q",0.5,2,0.5,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"209","3p","7q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"210","14whole","7q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"211","2p","7q",0.5,2,0.5,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"212","11q","7q",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"213","12p","17q",1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"214","10p","4p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"215","19p","4p",-0.5,2,0.5,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"216","21q","4p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"217","16p","4p",-1,1,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"218","11p","4p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"219","15q","4p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"220","17p","4p",0,2,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"221","20p","4p",-1,1,NA,"LINC","11473a98-d953-45f9-abf5-709b68a4bae8.rds"
