"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"222","12p","4p",-0.5,2,0.5,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"223","16q","4p",-0.5,2,0.5,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"224","3p","4p",0,2,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"225","18q","4p",0,2,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"226","3q","4p",0,2,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"227","12q","4p",0,1,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"228","17q","4p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"229","11q","4p",-0.5,2,0.5,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"230","4p","5p",0,3,NA,"LINC","11473a98-d953-45f9-abf5-709b68a4bae8.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"231","10p","5p",0,3,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"232","19p","5p",-0.25,4,0.39100221895577,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"233","19q","5p",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"234","20q","5p",0,4,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds"
"235","21q","5p",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"236","22q","5p",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"237","16p","5p",-0.333333333333333,3,0.422649730810374,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"238","11p","5p",0,2,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"239","15q","5p",0,3,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"240","18p","5p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds"
"241","17p","5p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"242","20p","5p",-0.25,4,0.39100221895577,"LINC","11473a98-d953-45f9-abf5-709b68a4bae8.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds"
"243","12p","5p",-0.333333333333333,3,0.422649730810374,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"244","16q","5p",-0.5,2,0.5,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"245","2q","5p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"246","3p","5p",0,2,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"247","18q","5p",0,3,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"248","3q","5p",0,3,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"249","12q","5p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"250","17q","5p",0,3,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"251","11q","5p",-0.5,2,0.5,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"252","5p","5q",0,4,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"253","10p","5q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"254","19p","5q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"255","19q","5q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"256","20q","5q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds"
"257","21q","5q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"258","22q","5q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"259","16p","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"260","15q","5q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"261","18p","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"262","17p","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"263","20p","5q",0,2,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"264","12p","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"265","2q","5q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"266","18q","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"267","3q","5q",0,1,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds"
"268","12q","5q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"269","17q","5q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"270","5p","8q",0,4,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"271","5q","8q",0,4,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"272","10p","8q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"273","19p","8q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"274","19q","8q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"275","20q","8q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds"
"276","21q","8q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"277","22q","8q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"278","7p","8q",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"279","16p","8q",-0.5,2,0.5,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"280","8p","8q",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"281","11p","8q",-1,1,NA,"LINC","8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"282","15q","8q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"283","18p","8q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"284","17p","8q",-0.5,2,0.5,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"285","20p","8q",-0.333333333333333,3,0.422649730810374,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds 8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"286","12p","8q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"287","2q","8q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"288","6p","8q",1,1,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds"
"289","6q","8q",0.5,2,0.5,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"290","18q","8q",-0.5,2,0.5,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"291","3q","8q",0,1,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds"
"292","12q","8q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"293","7q","8q",0,2,NA,"LINC","1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"294","17q","8q",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"295","14q","8q",-1,1,NA,"LINC","8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"296","10p","19p",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"297","16p","19p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"298","11p","19p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"299","15q","19p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"300","17p","19p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"301","12p","19p",0,1,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"302","16q","19p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"303","18q","19p",1,1,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"304","12q","19p",1,1,NA,"LINC","558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"305","17q","19p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"306","11q","19p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"307","10p","19q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"308","19p","19q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"309","16p","19q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"310","15q","19q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"311","16q","19q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"312","11q","19q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"313","10p","20q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"314","19p","20q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"315","19q","20q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"316","16p","20q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"317","11p","20q",0,1,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds"
"318","15q","20q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"319","18p","20q",0,2,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"320","20p","20q",0,4,NA,"LINC","145f6dbb-9744-44f7-8485-e440689de3fd.rds 1cb25b72-3726-4f12-9e22-f5c7e4b05681.rds 50b61288-1412-4104-92e6-8b1a359ef399.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"321","12p","20q",0,1,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds"
"322","16q","20q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"323","2q","20q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"324","18q","20q",0,3,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds 7a6cb147-a576-446d-a605-fa846ea3d1ad.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"325","12q","20q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"326","17q","20q",0,1,NA,"LINC","50b61288-1412-4104-92e6-8b1a359ef399.rds"
"327","1q","20q",0,1,NA,"LINC","145f6dbb-9744-44f7-8485-e440689de3fd.rds"
"328","11q","20q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"329","14q","20q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"330","10p","21q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"331","19p","21q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"332","19q","21q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"333","20q","21q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"334","11p","21q",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"335","15q","21q",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"336","18p","21q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"337","17p","21q",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"338","20p","21q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"339","18q","21q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"340","12q","21q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"341","17q","21q",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"342","14q","21q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"343","10p","22q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"344","19p","22q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"345","19q","22q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"346","20q","22q",0,2,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"347","21q","22q",0,1,NA,"LINC","0040b1b6-b07a-4b6e-90ef-133523eaf412.rds"
"348","16p","22q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"349","15q","22q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"350","16q","22q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"351","2q","22q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"352","11q","22q",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"353","5p","7p",0,3,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"354","5q","7p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"355","10p","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"356","19p","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"357","19q","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"358","20q","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"359","22q","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"360","16p","7p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"361","15q","7p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"362","18p","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"363","17p","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"364","20p","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"365","12p","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"366","16q","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"367","2q","7p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"368","6q","7p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"369","18q","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"370","12q","7p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"371","17q","7p",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"372","11q","7p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"373","10p","16p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"374","11p","16p",-1,1,NA,"LINC","8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"375","15q","16p",0,1,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds"
"376","12p","16p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"377","12q","16p",0.5,2,0.5,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"378","11q","16p",0,2,NA,"LINC","4f1fc78e-733d-4c6e-86b2-dbe1f98c141d.rds 558239c7-a160-4228-8fdf-a0a1d2f62133.rds"
"379","14q","16p",-1,1,NA,"LINC","8a2580c3-9c89-4cb0-b94d-3eca15dac1c3.rds"
"380","4p","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"381","17p","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"382","12p","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"383","16q","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"384","3p","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"385","18q","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"386","3q","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"387","11q","4q",0,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"388","4p","8p",0.5,2,0.5,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"389","5p","8p",0,3,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"390","5q","8p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"391","10p","8p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"392","19p","8p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"393","20q","8p",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"394","21q","8p",0,2,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"395","7p","8p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds 5042b417-d14e-42bb-b6f3-de303346a252.rds"
"396","16p","8p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"397","4q","8p",1,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"398","11p","8p",0,1,NA,"LINC","f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"399","15q","8p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"400","18p","8p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"401","17p","8p",0.333333333333333,3,0.422649730810374,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds e9445993-854d-44fc-a063-eacf70222fdf.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"402","20p","8p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"403","12p","8p",0.5,2,0.5,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"404","16q","8p",1,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"405","2q","8p",0,1,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds"
"406","3p","8p",1,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"407","6p","8p",0.333333333333333,3,0.422649730810374,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds e9445993-854d-44fc-a063-eacf70222fdf.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"408","6q","8p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"409","18q","8p",0.333333333333333,3,0.422649730810374,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"410","3q","8p",0.5,2,0.5,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds e9445993-854d-44fc-a063-eacf70222fdf.rds"
"411","12q","8p",0,2,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds 93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"412","7q","8p",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"413","17q","8p",0,2,NA,"LINC","35f82a33-bde2-47e2-8aba-ff1fd5920219.rds f0768c67-f38c-40a8-8f27-81a927fb5dca.rds"
"414","11q","8p",1,1,NA,"LINC","e9445993-854d-44fc-a063-eacf70222fdf.rds"
"415","14q","8p",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"416","5p","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"417","5q","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"418","8q","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"419","10p","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"420","20q","9q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"421","21q","9q",0,1,NA,"LINC","93a49462-4bd3-4efa-87a5-69006abba5a0.rds"
"422","7p","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
"423","16p","9q",0,1,NA,"LINC","5042b417-d14e-42bb-b6f3-de303346a252.rds"
